阿姨;āyí;아주머니, 이모
讲;jiǎng;말하다, 설명하다
教;jiāo;가르치다
脚;jiǎo;발
角;jiǎo;지폐 단위[10분의 1위안], 뿔
叫;jiào;~라고 부르다, 외치다
教室;jiàoshì;교실
接;jiē;받다, 마중 나가다
街道;jiēdào;길, 거리
结婚;jiéhūn;결혼하다
结束;jiéshù;끝나다, 마치다
节目;jiémù;프로그램, 종목
节日;jiérì;명절, 축제
姐姐;jiějie;누나, 언니
解决;jiějué;해결하다
解释;jiěshì;설명하다, 해석하다
借;jiè;빌리다, 빌려주다
介绍;jièshào;소개하다
今天;jīntiān;오늘
进;jìn;들어오다, 들어가다
近;jìn;가깝다
经常;jīngcháng;자주, 평소에
经过;jīngguò;지나가다, 거치다, 경과
经理;jīnglǐ;매니저, 지배인
九;jiǔ;9, 아홉
久;jiǔ;오래다, 길다
旧;jiù;오래된, 낡은
就;jiù;곧, 바로, 바로 ~이다
举行;jǔxíng;거행하다, 개최하다
句子;jùzi;문장
觉得;juéde;~라고 생각하다, 느끼다
决定;juédìng;결정하다, 결정
咖啡;kāfēi;커피
开;kāi;열다, 운전하다, 켜다
开始;kāishǐ;시작하다
看;kàn;보다, 구경하다
看见;kànjiàn;보이다, 보다
考试;kǎoshì;시험, 시험을 치다
渴;kě;목마르다
可爱;kě'ài;귀엽다, 사랑스럽다
可能;kěnéng;아마, ~일 수도 있다
可以;kěyǐ;~해도 된다, ~할 수 있다
刻;kè;15분, 새기다
课;kè;수업, 과
客人;kèrén;손님, 하객
空调;kōngtiáo;에어컨
口;kǒu;입, [식구 수의 양사]
哭;kū;울다
裤子;kùzi;바지
快;kuài;빠르다, 빨리
块;kuài;조각, 위안[화폐 단위]
快乐;kuàilè;즐겁다, 행복하다
筷子;kuàizi;젓가락
蓝;lán;파랗다, 푸르다
老;lǎo;늙은, 오래된
老师;lǎoshī;선생님
了;le;[동작의 완료·변화 조사]
累;lèi;피곤하다, 지치다
冷;lěng;춥다, 차갑다
离;lí;~에서 떨어져 있다
离开;líkāi;떠나다, 벗어나다
里;lǐ;안, 속
礼物;lǐwù;선물
历史;lìshǐ;역사
脸;liǎn;얼굴
练习;liànxí;연습하다, 연습
两;liǎng;2, 둘 [양사 앞]
辆;liàng;대 [차량의 양사]
聊天;liáotiān;이야기하다, 잡담하다
了解;liǎojiě;이해하다, 상세히 알다
邻居;línjū;이웃
零;líng;0, 영
六;liù;6, 여섯
楼;lóu;건물, 층
路;lù;길, 도로
旅游;lǚyóu;여행하다
绿;lǜ;초록색의, 푸르다
妈妈;māma;엄마, 어머니
马;mǎ;말
马上;mǎshàng;곧, 즉시
吗;ma;[의문 조사]
买;mǎi;사다
卖;mài;팔다
满意;mǎnyì;만족하다
慢;màn;느리다
忙;máng;바쁘다
猫;māo;고양이
帽子;màozi;모자
没;méi;없다, 하지 않았다
没关系;méiguānxi;괜찮습니다
每;měi;매, 마다
妹妹;mèimei;여동생
门;mén;문
米;mǐ;쌀, 미터(m)
米饭;mǐfàn;밥, 쌀밥
面包;miànbāo;빵
面条;miàntiáo;국수, 면
明白;míngbai;이해하다, 명확하다
明天;míngtiān;내일
名字;míngzi;이름
拿;ná;잡다, 들다, 가져오다
哪;nǎ;어느, 어떤
哪儿;nǎr;어디
那;nà;그, 저
那儿;nàr;그곳, 저곳
奶奶;nǎinai;할머니
南;nán;남쪽
男人;nánrén;남자, 남성
难;nán;어렵다
难过;nánguò;괴롭다, 슬프다
呢;ne;[의문의 조사], ~는요?
能;néng;~할 수 있다
你;nǐ;너, 당신
年;nián;해, 년
年级;niánjí;학년
年轻;niánqīng;젊다
鸟;niǎo;새
您;nín;당신, 귀하 [경칭]
牛奶;niúnǎi;우유
女儿;nǚ'ér;딸
女人;nǚrén;여자, 여성
努力;nǔlì;노력하다, 열심히 하다
爬山;páshān;등산하다
盘子;pánzi;쟁반, 접시
胖;pàng;뚱뚱하다, 살찌다
跑;pǎo;달리다
旁边;pángbiān;옆, 곁
手表;shǒubiǎo;손목시계
手机;shǒujī;휴대폰
瘦;shòu;마르다, (옷이) 꽉 끼다
舒服;shūfu;편안하다, 쾌적하다
叔叔;shūshu;아저씨, 삼촌
树;shù;나무
数学;shùxué;수학
刷牙;shuāyá;양치질하다
双;shuāng;쌍, 켤레
水平;shuǐpíng;수준, 실력
水;shuǐ;물
水果;shuǐguǒ;과일
睡觉;shuìjiào;자다
说话;shuōhuà;말하다
司机;sījī;운전기사
四;sì;4, 넷
送;sòng;보내다, 선물하다, 배웅하다
虽然...但是;suīrán...dànshì;비록 ~이지만 그러나 ~하다
虽然;suīrán;비록 ~일지라도
岁;suì;세, 살
所以;suǒyǐ;그래서, 때문에
他;tā;그, 타인
她;tā;그녀
它;tā;그것 [사물·동물]
太;tài;너무, 매우
太阳;tàiyáng;태양, 해
糖;táng;사탕, 설탕
特别;tèbié;특별하다, 유난히
疼;téng;아프다
提高;tígāo;높이다, 향상시키다
体育;tǐyù;체육
天气;tiānqì;날씨
甜;tián;달다
条;tiáo;가늘고 긴 것을 세는 단위
跳舞;tiàowǔ;춤을 추다
听;tīng;듣다
同事;tóngshì;동료
同意;tóngyì;동의하다
同学;tóngxué;학우, 학생
头发;tóufa;머리카락
突然;tūrán;갑자기, 문득
图书馆;túshūguǎn;도서관
腿;tuǐ;다리
外;wài;겉, 밖
完;wán;끝나다, 마치다
完成;wánchéng;완성하다, 완수하다
玩;wán;놀다, 장난하다
碗;wǎn;그릇, 공기
晚上;wǎnshang;저녁, 밤
万;wàn;만(10,000)
忘记;wàngjì;잊다, 까먹다
喂;wèi;여보세요, 얘야
为;wèi;~을 위하여
为什么;wèishénme;왜, 어째서
位;wèi;분, 사람 [존칭 양사]
文化;wénhuà;문화
问;wèn;묻다, 질문하다
问题;wèntí;문제, 질문
西;xī;서쪽
西瓜;xīguā;수박
希望;xīwàng;희망하다, 바라다
习惯;xíguàn;습관, 익숙해지다
洗;xǐ;씻다, 빨래하다
洗手間;xǐshǒujiān;화장실
洗澡;xǐzǎo;목욕하다
喜欢;xǐhuan;좋아하다
夏;xià;여름
下;xià;아래, 내리다, 다음
下午;xiàwǔ;오후
下雨;xiàyǔ;비가 오다
先;xiān;먼저, 미리
先生;xiānsheng;선생, 님, 남편
鲜奶;xiānnǎi;생우유
相信;xiāngxìn;믿다, 신뢰하다
香蕉;xiāngjiāo;바나나
相同;xiāngtóng;동일하다, 같다
想;xiǎng;생각하다, ~하고 싶다, 그리워하다
向;xiàng;~을 향하여
像;xiàng;닮다, ~와 같다
小;xiǎo;작다, 적다
小姐;xiǎojiě;아가씨, 양
小时;xiǎoshí;시간 [시간의 양]
小心;xiǎoxīn;조심하다
笑;xiào;웃다
校长;xiàozhǎng;교장, 총장
些;xiē;조금, 약간, 몇몇
鞋;xié;신발
写;xiě;쓰다
谢谢;xièxie;감사합니다
新闻;xīnwén;뉴스
新鲜;xīnxiān;신선하다
信;xìn;편지, 믿다
信用卡;xìnyòngkǎ;신용카드
行李箱;xínglixiāng;여행용 가방, 트렁크
兴趣;xìngqù;흥미, 관심
姓;xìng;성, 성씨
休息;xiūxi;쉬다, 휴식하다
需要;xūyào;필요하다
选择;xuǎnzé;선택하다
学生;xuésheng;학생
学习;xuéxí;학습하다, 배우다
学校;xuéxiào;학교
雪;xuě;눈
颜色;yánsè;색깔
眼镜;yǎnjìng;안경
眼睛;yǎnjing;눈
羊肉;yángròu;양고기
要求;yāoqiú;요구하다
药;yào;약
要;yào;원하다, ~하려고 하다, 중요하다
爷爷;yéye;할아버지
也;yě;~도, 또한
一;yī;1, 하나
一般;yìbān;일반적이다, 보통이다
一边;yìbiān;한쪽, ~하면서 ~하다
一点儿;yìdiǎnr;조금, 약간
一定;yídìng;반드시, 꼭
一共;yígòng;모두, 합계
一会儿;yíhuìr;잠시, 잠깐
一样;yíyàng;같다, 동일하다
一直;yìzhí;계속, 줄곧
医生;yīshēng;의사
医院;yīyuàn;병원
衣服;yīfu;옷
椅子;yǐzi;의자
已经;yǐjīng;이미, 벌써
以前;yǐqián;이전, 전에
以为;yǐwéi;~인 줄 알다, ~라고 여기다
艺术;yìshù;예술
意见;yìjiàn;의견, 이의
意思;yìsi;뜻, 의미, 재미
因为...所以;yīnwèi...suǒyǐ;~때문에 그래서 ~하다
因为;yīnwèi;~때문에
银行;yínháng;은행
饮料;yǐnliào;음료
应该;yīnggāi;마땅히 ~해야 한다
影响;yǐngxiǎng;영향, 영향을 주다
赢得;yíngdé;이기다, 얻다
英语;Yīngyǔ;영어
用;yòng;쓰다, 사용하다
游戏;yóuxì;게임, 놀이
游泳;yóuyǒng;수영하다
有;yǒu;있다, 소유하다
有名;yǒumíng;유명하다
右边;yòubian;오른쪽
鱼;yú;물고기, 생선
遇到;yùdào;만나다, 부딪히다
元;yuán;위안 [화폐 단위]
远;yuǎn;멀다
愿意;yuànyì;원하다, 기꺼이 ~하다
月;yuè;달, 월
月亮;yuèliang;달
越...越;yuè...yuè;~할수록 더욱 ~하다
云;yún;구름
运动;yùndòng;운동하다
再;zài;다시, 또
再见;zàijiàn;또 만나요, 안녕
在;zài;~에 있다, ~하고 있다
咱们;zánmen;우리
暂时;zànshí;잠시, 잠깐
脏;zāng;더럽다
早上;zǎoshang;아침
怎么;zěnme;어떻게, 왜
怎么样;zěnmeyàng;어떻습니까
增加;zēngjiā;증가하다
在那儿;zài nàr;그곳에
在这里;zài zhèlǐ;여기에
在那儿;zài nǎr;어디에
张;zhāng;매, 장 [종이·얼굴 등의 양사]
长;zhǎng;자라다, 성장하다
丈夫;zhàngfu;남편
着急;zháojí;조급해하다, 안달하다
找;zhǎo;찾다, (거스름돈을) 거슬러 주다
照顾;zhàogù;돌보다, 보살피다
照片;zhàopiàn;사진
照相机;zhàoxiàngjī;카메라
这;zhè;이, 이것
这儿;zhèr;여기, 이곳
着;zhe;~하고 있다, ~한 채로 있다
真;zhēn;정말, 진짜
正在;zhèngzài;마침 ~하고 있는 중이다
知道;zhīdào;알다, 이해하다
只;zhǐ;단지, 다만, 겨우
只;zhī;마리 [동물의 양사]
中国;Zhōngguó;중국
中间;zhōngjiān;중간, 사이
中文;Zhōngwén;중국어, 중문
中午;zhōngwǔ;정오
终于;zhōngyú;마침내, 결국
种;zhǒng;종류, 부류
重要;zhòngyào;중요하다
周末;zhōumò;주말
主要;zhǔyào;주요하다, 주요한
祝;zhù;빌다, 축원하다
注意;zhùyì;주의하다
住;zhù;살다, 거주하다
准备;zhǔnbèi;준비하다
桌子;zhuōzi;탁자, 테이블
字;zì;글자, 한자
字典;zìdiǎn;자전, 사전
自己;zìjǐ;자기, 자신
自行车;zìxíngchē;자전거
总是;zǒngshì;언제나, 늘
走;zǒu;걷다, 가다
最;zuì;가장, 제일
最近;zuìjìn;최근, 요즘
昨天;zuótiān;어제
左边;zuǒbian;왼쪽
坐;zuò;앉다, (탈것을) 타다
做;zuò;하다, 만들다
作业;zuòyè;숙제, 과제
作用;zuòyòng;작용, 역할
座;zuò;좌, 개 [산·건물 등의 양사]
坐位;zuòwèi;좌석, 자리
本;běn;권 [책을 세는 단위]
的;de;[관형어와 주어를 연결함]
